FH,SQ,Q,FX,SIN_HOUR,COS_HOUR
9.0,0.0,0.0,11.0,0.9790841,0.9790841
7.0,0.0,0.0,11.0,0.99766874,0.99766874
8.0,0.0,5.0,12.0,0.9422609,0.9422609
8.0,0.0,17.0,11.0,0.8169699,0.8169699
7.0,0.0,38.0,10.0,0.63108796,0.63108796
7.0,0.0,65.0,9.0,0.39840108,0.39840108
6.0,0.0,91.0,9.0,0.13616665,0.13616665
6.0,0.5,147.0,9.0,-0.13616665,-0.13616665
5.0,0.3,130.0,8.0,-0.39840108,-0.39840108
5.0,0.8,142.0,7.0,-0.63108796,-0.63108796
5.0,0.4,94.0,7.0,-0.8169699,-0.8169699
4.0,0.8,88.0,5.0,-0.9422609,-0.9422609
3.0,1.0,41.0,6.0,-0.99766874,-0.99766874
2.0,0.0,5.0,4.0,-0.9790841,-0.9790841
2.0,0.0,0.0,2.0,-0.8878852,-0.8878852
2.0,0.0,0.0,2.0,-0.730836,-0.730836
2.0,0.0,0.0,3.0,-0.51958394,-0.51958394
4.0,0.0,0.0,4.0,-0.26979676,-0.26979676
3.0,0.0,0.0,4.0,-2.4492937e-16,-2.4492937e-16
4.0,0.0,0.0,6.0,0.26979676,0.26979676
4.0,0.0,0.0,6.0,0.51958394,0.51958394
4.0,0.0,0.0,6.0,0.730836,0.730836
4.0,0.0,0.0,7.0,0.8878852,0.8878852
4.0,0.0,0.0,8.0,0.9790841,0.9790841
4.0,0.0,0.0,7.0,0.99766874,0.99766874
4.0,0.0,8.0,8.0,0.9422609,0.9422609
4.0,0.0,24.0,6.0,0.8169699,0.8169699
5.0,0.0,43.0,7.0,0.63108796,0.63108796
4.0,0.1,96.0,8.0,0.39840108,0.39840108
5.0,0.0,78.0,8.0,0.13616665,0.13616665
5.0,0.0,81.0,8.0,-0.13616665,-0.13616665
5.0,0.0,46.0,9.0,-0.39840108,-0.39840108
5.0,0.0,69.0,10.0,-0.63108796,-0.63108796
6.0,0.2,75.0,10.0,-0.8169699,-0.8169699
7.0,0.0,36.0,10.0,-0.9422609,-0.9422609
5.0,0.0,5.0,8.0,-0.99766874,-0.99766874
5.0,0.0,4.0,8.0,-0.9790841,-0.9790841
6.0,0.0,0.0,10.0,-0.8878852,-0.8878852
7.0,0.0,0.0,11.0,-0.730836,-0.730836
7.0,0.0,0.0,11.0,-0.51958394,-0.51958394
6.0,0.0,0.0,10.0,-0.26979676,-0.26979676
6.0,0.0,0.0,8.0,-2.4492937e-16,-2.4492937e-16
8.0,0.0,0.0,10.0,0.26979676,0.26979676
5.0,0.0,0.0,8.0,0.51958394,0.51958394
4.0,0.0,0.0,6.0,0.730836,0.730836
3.0,0.0,0.0,5.0,0.8878852,0.8878852
5.0,0.0,0.0,6.0,0.9790841,0.9790841
5.0,0.0,0.0,6.0,0.99766874,0.99766874
4.0,0.0,7.0,5.0,0.9422609,0.9422609
5.0,0.0,33.0,6.0,0.8169699,0.8169699
5.0,0.4,89.0,6.0,0.63108796,0.63108796
5.0,0.2,99.0,6.0,0.39840108,0.39840108
4.0,0.7,174.0,6.0,0.13616665,0.13616665
4.0,1.0,221.0,6.0,-0.13616665,-0.13616665
4.0,1.0,220.0,5.0,-0.39840108,-0.39840108
4.0,1.0,200.0,5.0,-0.63108796,-0.63108796
4.0,0.9,153.0,5.0,-0.8169699,-0.8169699
4.0,1.0,114.0,6.0,-0.9422609,-0.9422609
5.0,0.3,32.0,8.0,-0.99766874,-0.99766874
5.0,0.0,3.0,8.0,-0.9790841,-0.9790841
4.0,0.0,0.0,6.0,-0.8878852,-0.8878852
3.0,0.0,0.0,5.0,-0.730836,-0.730836
4.0,0.0,0.0,5.0,-0.51958394,-0.51958394
4.0,0.0,0.0,5.0,-0.26979676,-0.26979676
5.0,0.0,0.0,7.0,-2.4492937e-16,-2.4492937e-16
6.0,0.0,0.0,8.0,0.26979676,0.26979676
6.0,0.0,0.0,8.0,0.51958394,0.51958394
6.0,0.0,0.0,8.0,0.730836,0.730836
6.0,0.0,0.0,7.0,0.8878852,0.8878852
7.0,0.0,0.0,8.0,0.9790841,0.9790841
7.0,0.0,0.0,8.0,0.99766874,0.99766874
6.0,0.0,12.0,8.0,0.9422609,0.9422609
6.0,0.0,19.0,7.0,0.8169699,0.8169699
6.0,0.0,30.0,8.0,0.63108796,0.63108796
7.0,0.0,79.0,9.0,0.39840108,0.39840108
7.0,0.4,149.0,9.0,0.13616665,0.13616665
7.0,1.0,223.0,9.0,-0.13616665,-0.13616665
8.0,0.4,165.0,10.0,-0.39840108,-0.39840108
7.0,0.7,163.0,9.0,-0.63108796,-0.63108796
6.0,1.0,152.0,8.0,-0.8169699,-0.8169699
5.0,0.7,89.0,7.0,-0.9422609,-0.9422609
5.0,0.2,28.0,6.0,-0.99766874,-0.99766874
4.0,0.2,6.0,6.0,-0.9790841,-0.9790841
4.0,0.0,0.0,6.0,-0.8878852,-0.8878852
4.0,0.0,0.0,5.0,-0.730836,-0.730836
5.0,0.0,0.0,6.0,-0.51958394,-0.51958394
4.0,0.0,0.0,5.0,-0.26979676,-0.26979676
4.0,0.0,0.0,5.0,-2.4492937e-16,-2.4492937e-16
4.0,0.0,0.0,5.0,0.26979676,0.26979676
4.0,0.0,0.0,4.0,0.51958394,0.51958394
4.0,0.0,0.0,5.0,0.730836,0.730836
